docker compose logs -t -f
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.615328097Z 2025-11-16 19:56:28 INFO     Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.615358764Z 2025-11-16 19:56:28 INFO     Socket connected: <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.82', 44120), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.615362180Z 2025-11-16 19:56:28 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff86afd880>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff86afd880> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.618741389Z 2025-11-16 19:56:28 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff86afd880> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.618772055Z 2025-11-16 19:56:28 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff86afd880> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.618780889Z 2025-11-16 19:56:28 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff86afd880> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.618870389Z 2025-11-16 19:56:28 INFO     Created channel=1
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.624832472Z 2025-11-16 19:56:28 INFO     Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.625225805Z 2025-11-16 19:56:28 INFO     Socket connected: <socket.socket fd=10, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.82', 44122), raddr=('172.18.0.5', 5672)>
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.625804055Z 2025-11-16 19:56:28 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851c4a00>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851c4a00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
