docker compose logs --timestamps -f
joiner_q1                          | 2025-10-01T02:58:11.039281943Z Wrote 44 rows to /app/output/q1_unsorted.csv. Total rows written: 1957
joiner_q1                          | 2025-10-01T02:58:11.113752814Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3327
joiner_q1                          | 2025-10-01T02:58:11.114277049Z Wrote 51 rows to /app/output/q1_unsorted.csv. Total rows written: 2008
joiner_q1                          | 2025-10-01T02:58:11.238833837Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3127
joiner_q1                          | 2025-10-01T02:58:11.238838894Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 2056
joiner_q1                          | 2025-10-01T02:58:11.378151813Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3202
joiner_q1                          | 2025-10-01T02:58:11.378162237Z Wrote 49 rows to /app/output/q1_unsorted.csv. Total rows written: 2105
joiner_q1                          | 2025-10-01T02:58:11.777766990Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2873
joiner_q1                          | 2025-10-01T02:58:11.777787999Z Wrote 44 rows to /app/output/q1_unsorted.csv. Total rows written: 2149
joiner_q1                          | 2025-10-01T02:58:11.808509795Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3468
joiner_q1                          | 2025-10-01T02:58:11.808528981Z Wrote 53 rows to /app/output/q1_unsorted.csv. Total rows written: 2202
joiner_q1                          | 2025-10-01T02:58:11.889855425Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3661
joiner_q1                          | 2025-10-01T02:58:11.889873279Z Wrote 56 rows to /app/output/q1_unsorted.csv. Total rows written: 2258
joiner_q1                          | 2025-10-01T02:58:11.904645300Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3129
joiner_q1                          | 2025-10-01T02:58:11.905614224Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 2306
joiner_q1                          | 2025-10-01T02:58:12.016392388Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3395
joiner_q1                          | 2025-10-01T02:58:12.016872776Z Wrote 52 rows to /app/output/q1_unsorted.csv. Total rows written: 2358
joiner_q1                          | 2025-10-01T02:58:12.084319462Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2870
joiner_q1                          | 2025-10-01T02:58:12.085308196Z Wrote 44 rows to /app/output/q1_unsorted.csv. Total rows written: 2402
joiner_q1                          | 2025-10-01T02:58:12.122092639Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4194
joiner_q1                          | 2025-10-01T02:58:12.122654647Z Wrote 64 rows to /app/output/q1_unsorted.csv. Total rows written: 2466
joiner_q1                          | 2025-10-01T02:58:12.222210178Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3640
joiner_q1                          | 2025-10-01T02:58:12.222415445Z Wrote 56 rows to /app/output/q1_unsorted.csv. Total rows written: 2522
joiner_q1                          | 2025-10-01T02:58:12.292785354Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3336
joiner_q1                          | 2025-10-01T02:58:12.292799163Z Wrote 51 rows to /app/output/q1_unsorted.csv. Total rows written: 2573
joiner_q1                          | 2025-10-01T02:58:12.398278552Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3654
joiner_q1                          | 2025-10-01T02:58:12.398292801Z Wrote 56 rows to /app/output/q1_unsorted.csv. Total rows written: 2629
joiner_q1                          | 2025-10-01T02:58:12.549616380Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3594
joiner_q1                          | 2025-10-01T02:58:12.549625782Z Wrote 55 rows to /app/output/q1_unsorted.csv. Total rows written: 2684
joiner_q1                          | 2025-10-01T02:58:12.854210013Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3063
joiner_q1                          | 2025-10-01T02:58:12.854223441Z Wrote 47 rows to /app/output/q1_unsorted.csv. Total rows written: 2731
joiner_q1                          | 2025-10-01T02:58:12.890649335Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2801
joiner_q1                          | 2025-10-01T02:58:12.890664816Z Wrote 43 rows to /app/output/q1_unsorted.csv. Total rows written: 2774
joiner_q1                          | 2025-10-01T02:58:13.025936266Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2808
joiner_q1                          | 2025-10-01T02:58:13.025951086Z Wrote 43 rows to /app/output/q1_unsorted.csv. Total rows written: 2817
joiner_q1                          | 2025-10-01T02:58:13.124101927Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3156
joiner_q1                          | 2025-10-01T02:58:13.125183971Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 2865
joiner_q1                          | 2025-10-01T02:58:13.292933102Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3274
joiner_q1                          | 2025-10-01T02:58:13.293334715Z Wrote 50 rows to /app/output/q1_unsorted.csv. Total rows written: 2915
joiner_q1                          | 2025-10-01T02:58:13.387963812Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4034
joiner_q1                          | 2025-10-01T02:58:13.388252803Z Wrote 62 rows to /app/output/q1_unsorted.csv. Total rows written: 2977
